greedy,constant-epsilon,epsilon-greedy,boltzmann-exploration
30.48,30.24,30.96,44.68
38.28,35.4,37.56,41.04
30.2,38.92,33.6,43.92
27.48,44.24,34.96,47.2
30.4,37.72,36.44,43.12
32.44,36.36,32.72,49.36
26.76,34.92,29.6,45.96
32.04,36.12,33.16,40.56
34.92,36.56,29.88,41.72
29.36,39.8,27.64,42.68
28.88,43.52,32.72,47.36
29.32,39.76,29.2,44.76
27.24,38.88,32.36,45.16
32.6,38.48,32.2,42.08
28.44,36.76,34.52,44.44
33.12,33.48,37.2,43.44
31.96,39.24,30.44,42.24
29.8,40.76,30.24,44.8
24.04,39.04,28.8,39.8
26.76,40.8,29.8,47.96
30.32,43.4,30.24,43.32
31.92,45.88,32.48,50.36
29.48,37.16,32.2,42.2
31.84,36.88,36.88,44.16
28.64,31.04,30.04,44.2
30.6,40.6,32.48,42.56
34.72,41.0,31.8,44.76
32.08,33.2,35.88,43.8
33.12,36.96,28.24,45.6
26.28,37.04,32.48,43.16
30.52,41.24,33.4,45.68
29.56,36.96,29.6,42.32
